CATEGORY,DATE,QUARTER,PDQ,X,Y,LONGITUDE,LATITUDE
Vols qualifiés,11/15/2019,soir,11,294028.114,5036514.222,-73.63775874,45.46847239
Introduction,11/16/2019,soir,10,290824.331,5044251.637,-73.67895132,45.53803988
Vols qualifiés,11/18/2019,soir,44,298362.566,5047231.875,-73.58246743,45.56496751
Méfait,11/19/2019,jour,13,296707.625,5031653.5,-73.60341131,45.42476934
Introduction,11/20/2019,jour,38,298505.728,5042556.15,-73.58057332,45.52289498
Méfait,11/21/2019,soir,7,290598.844,5040488,-73.68172949,45.50416877
Vols qualifiés,11/22/2019,soir,15,297421.035,5034906.283,-73.59434353,45.45404746
Introduction,11/23/2019,jour,16,299157.563,5036267,-73.57215684,45.46630804
Méfait,11/24/2019,jour,26,294730.395,5038696.373,-73.62882221,45.48811884
Vol de véhicule à moteur,11/25/2019,jour,12,297490.289,5039092.009,-73.59352036,45.4917133
Introduction,11/26/2019,jour,42,296464.848,5049482.267,-73.60681669,45.58519708
Vol dans / sur véhicule à moteur,11/26/2019,nuit,4,278901.563,5037845.5,-73.83127598,45.48005456
Vol dans / sur véhicule à moteur,11/28/2019,soir,5,278601.756,5036120.691,-73.83501888,45.46452298
Vol de véhicule à moteur,11/29/2019,jour,26,294768.446,5037904.821,-73.62831925,45.48099665
Vol dans / sur véhicule à moteur,11/30/2019,jour,42,299424.406,5049725.5,-73.56889206,45.58741493
Introduction,12/2/2019,jour,13,294047.692,5031368.616,-73.63739591,45.42216998
Vol dans / sur véhicule à moteur,12/3/2019,nuit,49,305341.57,5054939.555,-73.4930536,45.63435291
Vol de véhicule à moteur,12/4/2019,soir,5,279357.875,5035896.5,-73.82533831,45.46253358
Vol de véhicule à moteur,12/5/2019,jour,26,294600.374,5038779.191,-73.63048731,45.48886218
Introduction,12/6/2019,soir,16,299504.688,5036366,-73.56771879,45.46720161
Vol dans / sur véhicule à moteur,12/7/2019,jour,42,296899.438,5050992,-73.60127177,45.59878714
Vol dans / sur véhicule à moteur,12/9/2019,jour,10,292246.669,5043840.003,-73.66072853,45.53436293
Vol de véhicule à moteur,12/9/2019,jour,42,297338.25,5048844.5,-73.59561414,45.57946818
Méfait,12/10/2019,nuit,16,299431.844,5036541,-73.56865226,45.46877579
Introduction,12/11/2019,jour,48,302967.091,5052467.11,-73.52350034,45.61210305
Méfait,12/13/2019,soir,49,303984.418,5057110.871,-73.51046462,45.65389059
Vol dans / sur véhicule à moteur,12/14/2019,jour,48,301619.382,5049156.707,-73.54075819,45.58231026
Vol dans / sur véhicule à moteur,12/16/2019,jour,27,292827.7,5047597.269,-73.65338117,45.56818224
Vol de véhicule à moteur,12/17/2019,soir,5,286994.875,5035503,-73.72766772,45.4592291
